name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,notes,exclude,,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,,,
hawthorn,crataegus spp.,5,chronic heart failure,cardio,fruit,,2755,10,104,,Hawthorn extract made from dried hawthorn improved heart function and symptoms of heart failure in patients with chronic heart failure. Appears beneficial when used in on top of existing treatment.,,,"2009 Cochrane review: Hawthorn extract (made from the dried leaves, flowers and fruits of the hawthorn bush) may be used as an oral treatment option for chronic heart failure. In this review, 14 double-blind, placebo controlled randomised clinical trials (RCTs) were found. They did not all measure the same outcomes and several did not explain what other heart failure treatments patients were receiving. Those trials (10 trials, 855 patients) that could be included in a meta-analysis showed improvements in heart failure symptoms and in the function of the heart. The results, therefore, are suggestive of a benefit from hawthorn extract used in addition to conventional treatments for chronic heart failure.",http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005312.pub2/abstract,,,10,,,2009,,,Cochrane review: Hawthorn extract for treating chronic heart failure,,http://www.ajhp.org/content/59/5/417.short,http://www.ncbi.nlm.nih.gov/pubmed/16149711?dopt=Abstract,,,,,,,,,,
hawthorn,crataegus spp.,3,blood pressure,cardio,fruit,,2755,3,104,,A small number of studies suggest hawthorn extract may modestly lower blood pressure.,,,"2006 RCT: 1200mg hawthorn extract per day lowered blood pressure among patients with type 2 diabetes already taking blood pressure-lowering drugs better than placebo. The reduction in diastolic BP was 2.6 mmHg. There was no reduction in systolic BP above placebo. 2005: Korodin Herz-Kreislauf-Tropfen, a herbal drug containing D-camphor (2.5 %) & fresh hawthorn berries extract (97.3%), was found effective & safe in the treatment of orthostatic hypotension for all age groups (11-102 yrs) in 490 patients & independent of initial blood pressures. Asgary 2004: Administration of a hydroalcoholic extract of Iranian Crataegus curvisepala, a species of hawthorn, in total of 92 men and women with primary mild hypertension, aged 40-60 years, 3 times daily for more than 4 months showed a decrease in both systolic and diastolic BP after 3 months. ",,,http://www.ncbi.nlm.nih.gov/pubmed/16762125,,,,2006,,,Walker et al 2006,,http://www.ncbi.nlm.nih.gov/pubmed/16149711?dopt=Abstract,http://www.ncbi.nlm.nih.gov/pubmed/15700749,,,,#,,,,,,
hazelnuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,3571,0,141,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,2011,,,Bolling et al 2011,,,,,,,,,,,,,
hemp seeds,,3,cardiovascular disease,cardio,nut / seed,,1451,0,55,,Questions remain regarding the cardiovascular effects of hemp seed.,,,There remain many questions regarding the cardiovascular effects of hemp seed that demand scientific answers in order to definitively establish this food as a preventive or therapeutic dietary intervention.,,http://www.nutritionandmetabolism.com/content/7/1/32,,,,,2010,,,Rodriguez-Leyva and Pierce 2010,,,,,,,,,,,,,
honey,,3,"cardio risk factors, inflammation",cardio,animal product,,15067,3,515,,Honey may lower cholesterol and positively affect other cardio risk factors. Also reduces markers of inflammation during cycle training.,,,"2010 review: 2 studies show honey (compared to sucrose) ameliorates cardiovascular risk factors, including lowering cholesterol, in healthy individuals and in patients with elevated risk factors. 2012 paper: Honey reduces inflammatory markers during cycling training. ",,http://link.springer.com/article/10.1007%2Fs12349-009-0051-6?LI=true,,,,2,2010,1,1,Alvarez-Suarez et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/21636735,,,,,,,,,,,
honey,,2,coughs in children,infections,animal product,,15067,2,515,,May be better at relieving coughs than nothing. But not better than standard cough suppressant drugs. No strong evidence for or against use. Trials at high risk of bias.,,,2012 Cochrane review of two trials involving 265 children with high risk of bias. Honey may be better than 'no treatment' and diphenhydramine in the symptomatic relief of cough but not better than dextromethorphan. There is no strong evidence for or against the use of honey. ,http://www.ncbi.nlm.nih.gov/pubmed/22419319,,http://www.ncbi.nlm.nih.gov/pubmed/20618098,2,,,2012,,,Cochrane review: Honey for acute cough in children,,,,,,,,,,,,,
honey,,5,antimicrobial activity,infections,animal product,,15067,2,515,,Kills infections when applied directly to wounds. Also promotes healing when eaten by killing bacteria and controlling inflammation. New Zealand manuka honey the best.,,,"2011 review: As well as having antimicrobial action when applied directly to wounds (there is strong evidence for this), honey also promotes healing when ingested and shows antibacterial action by decreasing prostaglandin levels, elevating nitric oxide levels, and exerting prebiotic effects. These factors play a major role in controlling inflammation and promoting microbial control and healing processes. 2010 review: New Zealand manuka honey shows the greatest antibacterial activity.",,http://www.ncbi.nlm.nih.gov/pubmed/21859350,http://link.springer.com/content/pdf/10.1007%2Fs12349-009-0051-6,,100%,,2011,2,2,Al-Waili et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/21310682,http://link.springer.com/content/pdf/10.1007%2Fs12349-009-0051-6,,,,,,,,,,
horsetail,"Equisetum arvense, shavegrass, common horsetail, field horsetail, tsukushi",1,osteoporosis,musculoskeletal,vegetable,OTW,1162,1,51,,"Contains silicon, a mineral needed for bone health. Menopausal women treated with dried extract improved bone density, especially when horsetail taken with calcium.",,,"Contains silicon, a mineral needed for bone health. 1999: menopausal women treated with titrated dry horsetail extract for 40 or 80 days showed improved bone density above placebo. Improvements were enhanced when the women took horsetail in combination with calcium.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/095/CN-00415095/frame.html,,100%,,,1,1,Corletto 1999,,,,,,,,,,,,,
kimchi,,1,"body weight, metabolic parameters","weight control, cardio",microbe,OTW,1414,1,120,,"A Korean fermented vegetable condiment. One trial showed fermented kimchi better than fresh kimchi at lowering blood pressure, blood sugar, cholesterol and body fat in overweight people. More trials needed.",,,"Kimchi is a Korean fermented vegetable condiment. 2011: Twenty-two overweight and obese patients were randomly assigned to two 4-week diet phases separated by a 2-week washout period (crossover design). During each diet phase, the subjects consumed either fresh or fermented kimchi. The ingestion of fermented kimchi had positive effects on various factors associated with metabolic syndrome, including systolic and diastolic blood pressures, percent body fat, fasting glucose, and total cholesterol, compared with the fresh kimchi. These results suggest that the maturity of kimchi (fresh vs fermented) may affect obesity, lipid metabolism, and inflammatory processes.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/781/CN-00810781/frame.html,,100%,,,1,1,Kim et al 2011,,,,,,,,,,,,,
kiwi,,2,"cardiovascular disease, cancer","cardio, cancer",fruit,,8911,3,184,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/15370099,,100%,,,3,,Duttaroy and Jørgensen 2004,,http://www.ncbi.nlm.nih.gov/pubmed/21586177,http://www.ncbi.nlm.nih.gov/pubmed/21212530,,,,,,,,,,
krill oil,,1,PMS,women,animal product,,1640,1,960,,Might ease premenstrual cramps and emotional symptoms. ,,,"In a study of 70 subjects with PMS, it was found that Neptune Krill Oil can significantly reduce dysmenorrhea and the emotional symptoms of premenstrual syndrome and is shown to be significantly more effective for the complete management of premenstrual symptoms compared to omega-3 fish oil.",,,http://www.ncbi.nlm.nih.gov/pubmed/12777162,,,,,1,,Sampalis et al 2003,,http://www.thorne.com/altmedrev/.fulltext/8/2/171.pdf.,,,,,#,,,,,,
krill oil,,1,arthritis,musculoskeletal,animal product,,1640,1,960,,One study showed 300mg a day appeared to reduce inflammation and soothe arthritis symptoms after 7 days. More studies needed.,,,"2007: 90 patients with rheumatoid arthritis or osteoarthritis or cardio disease took 300mg Neptune krill oil per day. C-reactive protein scores, a marker of inflammation, dropped by c.20% after 7 days rising to c. 30% after 30 days of treatment. Krill oil appeared to reduce inflammation. Pain, stiffness and joint impairment also improved significantly among in the arthritis patients.",,,http://www.ncbi.nlm.nih.gov/pubmed/17353582,,,,,1,,Deutsch 2007,,,,,,,,,,,,,
leek,,2,stomach cancer prevention,cancer,vegetable,,3835,21,182,,"High consumption of allium vegetables (onions, leeks, garlic) apparently linked to reduced stomach cancer risk. Further studies needed to rule out other factors.",,,"2011: In a meta-analysis, consumption of high levels of allium vegetables reduced the risk for gastric cancer risk. Because of potential confounding factors and exposure misclassification, further studies are required to establish this association. 2004: Although there is a large body of evidence, they are still speculative, and further research is needed. ",,http://www.ncbi.nlm.nih.gov/pubmed/21473867,http://www.ncbi.nlm.nih.gov/pubmed/15373701,,,21,"2011, 2004",,,Zhou et al 2011,,,,,,,,,,,,,
lemon,,3,cancer prevention,cancer,fruit,,18028,9,287,,"Eating citrus fruit appears to decrease stomach, perhaps pancreatic, but not prostate cancer risk.",,,"Eating citrus fruit appears to decrease stomach, perhaps pancreatic, but not prostate cancer risk.",,http://www.ncbi.nlm.nih.gov/pubmed/18824947,,,,9,2009,,,Bae et al 2009,,http://www.ncbi.nlm.nih.gov/pubmed/18373174,http://www.ncbi.nlm.nih.gov/pubmed/18515992,,,,,,,,,,
longan fruit,"Dimocarpus longan, Dragon Eyes, Euphoria Longan",1,weight control,weight control,fruit,,2032,1,123,,"Traditionally used as a tonic and treatment for forgetfulness, insomnia, or palpitations caused by fright. Lab and animal studies it may protect brain cells and improve cognition. One human trial found longan plus other ingredients was effective for weight loss.",,,"Traditional usage includes as a tonic and for the treatment of forgetfulness, insomnia, or palpitations caused by fright. In vitro and animal studies suggest it may exhibit neuroprotective effects and improve cognition, but the only human trial investigated longan in combination with several other ingredients as Smilax for weight loss (it was effective).",,,http://www.ncbi.nlm.nih.gov/pubmed/21214436,,50%,,,1,0.5,Ignjatovic et al 2000,,,,,,,,,,,,,
lychees,,1,exercise performance,general health,fruit,,2328,3,89,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/21780209,,100%,,,3,,Nishizawa et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/22448090,http://ci.nii.ac.jp/naid/110006632543/,,,,,,,,,,
macadamia nuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,1481,0,73,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,2011,,,Bolling et al 2011,,,,,,,,,,,,,
mango,,1,cancer prevention,cancer,fruit,OTW,11619,1,203,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/20205391,,,,,1,,Noratto et al 2010,,,,,,,,,,,,,
mushrooms,,0,cancer treatment,cancer,fungus,,10330,0,218,,Several anti-cancer drugs are derived from mushroom compounds. But no scientific basis for use of mushrooms or mushroom extracts themselves in treatment.,,,"2012: Several of the mushroom polysaccharide compounds have proceeded through phase I, II, and III clinical trials and are used extensively and successfully as drugs in Asia to treat various cancers and other diseases. 2009: A high level of biological efficiency has been found in beta-glucans. (Biological efficiency refers to the relative ability of beta-glucans to promote a desired response, for example to induce leukocyte activation and to produce inflammatory mediators.) 2008: There is, at present, no scientific basis for the use of either mushrooms or mushroom extracts in the treatment of human patients.",,,http://www.ncbi.nlm.nih.gov/pubmed/22506573,,,,,,,Chang and Wasser 2012,,http://www.ncbi.nlm.nih.gov/pubmed/19906249,http://www.ncbi.nlm.nih.gov/pubmed/18296732,,,,,,,,,,
nattō,fermented soybeans,3,bone health,musculoskeletal,microbe,,890,4,84,,"High in vitamin K2, which may play a role in bone formation. Appears to increase blood levels of K2 and a bone-building protein called osteocalcin. Improves some markers of bone health but not others.",,,"Nattō is high in vitamin K2, which may play a role in bone formation. 2004: 73 healthy premenopausal women given natto 3x/week for a year showed some improvement in bone turnover markers but not bone stiffness. 2010: among healthy postmenopausal Norwegian women, 1 year supplementation of vitamin K2 in the form of Natto capsules had no effect on bone loss rates. 2 2000 studies: dietary natto did increase blood levels of vitamin K2 and osteocalcin (a bone-building protein).",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/150/CN-00490150/frame.html,,75%,,,4,3,Katsuyama et al 2004,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/453/CN-00781453/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/150/CN-00490150/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/456/CN-00424456/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/202/CN-00424202/frame.html,,,,,,,,
nattō,fermented soybeans,1,glucose and insulin responses,diabetes,microbe,OTW,890,1,84,,May lower blood sugar and insulin levels after a meal.,,,"2008: Peak glucose and insulin concentrations after a test meal containing nattō (fermented soybeans), vegetables and rice were significantly lower than after the control meal containing just soybeans, vegetables and rice. The incremental areas under the curve for glucose and insulin over 0-120 min after the test meal were also significantly reduced as compared with the control meal (28 and 27%). ",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/026/CN-00683026/frame.html,,100%,,,1,1,Taniguchi 2008,,,,,,,,,,,,,
nettles,"stinging nettle, Urtica dioica",4,urinary symptoms,"urinary, men",vegetable,,1649,5,156,,A potentially effective treatment for lower urinary tract symptoms caused by prostate problems in older men. Effective for moderate and severe symptoms. No negative side effects.,,,2 studies of nettle alone and 3 of nettle in combination with other ingredients show nettle to  be a potentially effective treatment for lower urinary tract symptoms caused by benign prostatic hyperplasia in older men. It was effective in patients with moderate and severe symptoms and did not have negative side effects.,,,http://www.ncbi.nlm.nih.gov/pubmed/16635963,,100%,,,5,5,Safarinejad 2005,,http://www.ncbi.nlm.nih.gov/pubmed/15928959,http://www.ncbi.nlm.nih.gov/pubmed/16708583,http://www.ncbi.nlm.nih.gov/pubmed/18038253,http://www.ncbi.nlm.nih.gov/pubmed/20931547,,,,,,,,
nettles,"stinging nettle, Urtica dioica",2,type 2 diabetes,diabetes,vegetable,OTW,1649,2,156,,,,,"2012: A single-blind, randomized clinical trial was conducted on 50 type 2 diabetes patients, given 100 mg/kg of hydro alcoholic nettle extract or placebo daily for 8 weeks. Hydro alcoholic extract of nettle had positive effects on lipid profiles and blood pressure status, indicating its consumption can be recommended as auxiliary therapy in patients for type 2 diabetes. 2011: In a randomized double-blind trial of 50 type 2 diabetes patients, two inflammatory indicators (Interleukin 6 and High Sensitive C-Reactive protein) dropped after 8 weeks of nettle extract.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/105/CN-00837105/frame.html,,100%,,,2,2,Tarighat et al 2012,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/097/CN-00804097/frame.html,,,,,,,,,,,
oats,,6,cholesterol,cardio,grain / pulse,,6213,126,232,,"Three grams of the sugars oats & barley (beta-glucans) per day lowers blood total cholesterol, low-density lipoprotein, and triglycerides. The average reduction in total cholesterol in the studies examined was 0.6 mmol/L.",,,2011: Consuming 3 grams of the beta-glucan (sugars) in oats & barley per day lowers blood cholesterol. ,,http://www.ncbi.nlm.nih.gov/pubmed/21470820,,,,126,2011,,,Tiwari and Cummins 2011,,http://www.ncbi.nlm.nih.gov/pubmed/21631511 2011,,,,,,,,,,,
oily fish,,3,colorectal cancer,cancer,animal product,,1428,14,185,,"People consuming the most fish, especially oily fish, at a lower risk of colorectal cancer than those consuming the least. But more clinical trials needed.",,,"Population studies show those consuming the most fish, especially oily fish, show a lower risk of colorectal cancer than those consuming the least, in the range of 12-34%. But intervention studies are needed.",,http://aje.oxfordjournals.org/content/166/10/1116.abstract,http://aje.oxfordjournals.org/content/166/2/181.full,,,14,2007,,,Geelen et al 2007,,"http://journals.lww.com/eurjcancerprev/Abstract/1995/08000/Fish,_n_3_fatty_acids_and_human_colorectal_and.8.aspx",,,,,,,,,,,
olive oil,,6,cardiovascular disease ,cardio,plant extract,,10354,25,281,,Olive oil is associated with a wide range of anti-artery-hardening effects. Olive oil-rich diets can be a useful tool against risk factors for cardiovascular disease. ,,,"2012 review: 'Olive oil, an oil rich in monounsaturated fatty acids and minor constituents including phenolic compounds, is a major component of the Mediterranean diet. The potential health benefits of the Mediterranean diet were highlighted by the seminal Seven Countries Study, and more contemporary research has identified olive oil as a major element responsible for these effects. It is emerging that the phenolic compounds are the most likely candidates accounting for the cardioprotective and cancer preventative effects of extra virgin olive oil.' 2009: Olive oil-rich diets can be a useful tool against risk factors for cardiovascular disease. 2007: Wide range of anti-atherogenic effects associated with olive oil consumption. ",,http://www.ncbi.nlm.nih.gov/pubmed/22607645,http://www.ncbi.nlm.nih.gov/pubmed/18069902,,,,,4,,Rafehi et al 2012,,http://www.ncbi.nlm.nih.gov/pubmed/17321749,http://www.ncbi.nlm.nih.gov/pubmed/16008542,http://www.ncbi.nlm.nih.gov/pubmed/19858733,,,,,,,,,
oranges ,,3,cancer prevention,cancer,fruit,,7106,9,226,,"Eating citrus fruit appears to decrease stomach, perhaps pancreatic, but not prostate cancer risk.",,,"Eating citrus fruit appears to decrease stomach, perhaps pancreatic, but not prostate cancer risk.",,http://www.ncbi.nlm.nih.gov/pubmed/18824947,,,,9,2009,,,Bae et al 2009,,http://www.ncbi.nlm.nih.gov/pubmed/18373174,http://www.ncbi.nlm.nih.gov/pubmed/18515992,,,,,,,,,,
oysters,,0,sex drive,sex,animal product,,4923,0,202,,Oysters are an excellent source of zinc. Severe zinc deficiency can cause impotence. But no evidence that eating oysters boosts sex drive. ,,,Oysters are an excellent source of zinc. Severe zinc deficiency can cause impotence. But there is no evidence that eating oysters boosts sex drive. ,,,http://ods.od.nih.gov/factsheets/zinc-HealthProfessional/,,,,,,,National Institutes of Health,,,,,,,,,,,,,
papaya,,1,prostate cancer prevention,"men, cancer",fruit,,5550,2,188,,"Rich in lycopene. Intake of lycopene-rich foods associated with reduced risk of several cancers, notably prostate cancer. But few clinical trials.",,,"2010: Results from several epidemiologic studies suggest a strong association between high intake of lycopene-rich foods and reduced risk of several cancers, notably prostate cancer. However, few well designed clinical trials have been conducted, and data remain inconclusive. 2009: We conclude that there is an overall shortage of supportive evidence for the ""antioxidant hypothesis"" as lycopene's major in vivo mechanism of action. 2008: Carefully designed and adequately powered clinical studies of lycopene are still needed to confirm its efficacy as a chemoprevention agent.",,,http://www.ncbi.nlm.nih.gov/pubmed/20691333,,,,,2,,Siegel et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/12368412,,http://www.ncbi.nlm.nih.gov/pubmed/18585855,http://www.ncbi.nlm.nih.gov/pubmed/20394143,http://www.ncbi.nlm.nih.gov/pubmed/22305790,http://www.ncbi.nlm.nih.gov/pubmed/18983972,,,,,,
parsley,,1,oxidative stress,"general health, cancer",herb / spice,OTW,3768,1,189,,"May decrease damage to blood proteins. Apigenin, a flavanoid found most abundantly in parsley and camomile flowers, shows anti-cancer effects in the lab. No human trials on cancer as yet.",,,"A single 1999 human trial of 14 volunteers showed parsley ingestion decreased oxidative damage to blood proteins. More recent studies show apigenin, a flavanoid found most abundantly in parsley and camomile flowers, exhibits anti-cancer effects in vitro. No human trials on cancer as yet.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/433/CN-00265433/frame.html,,100%,,,1,1,Nielsen et al 1999,,studies on mechanisms:,http://www.ncbi.nlm.nih.gov/pubmed/23197449,http://www.ncbi.nlm.nih.gov/pubmed/17143534,,,,,,,,,
pecan nuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,5637,0,178,,,,,This review includes multiple studies that find promising results for tree nuts (but not conclusive evidence). ,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,2011,,,Bolling et al 2011,,,,,,,,,,,,,
peppermint oil,,4,irritable bowel syndrome,digestion,herb / spice,,4980,4,184,,"Probably an effective treatment for irritable bowel syndrome. In trials, rated symptoms improved by 57% on average.",,,2008 meta-analysis of 4 trials including 392 patients: Peppermint oil was more effective than placebo in the treatment of irritable bowel syndrome. Assessed symptoms improved by an average of 57%.  ,,http://www.bmj.com/content/337/bmj.a2313,,,,4,2008,,,Ford et al 2008,,,,,,,,,,,,,
peppers,"bell peppers, sweet peppers",1,Parkinson's disease,mental health,fruit,OTW,"5,916",1,216,,People who eat more peppers appear to lower their Parkinson's risk. The reason? Nicotine. Pepper plants come from the same family as tobacco. Protective effects strongest for non-smokers.,,,"2013: Parkinson's disease was inversely associated with consumption of all edible Solanaceae combined (relative risk [RR] = 0.81, 95% confidence interval [CI] = 0.65–1.01 per time per day), but not consumption of all other vegetables combined (RR = 1.00, 95% CI = 0.92–1.10). The trend strengthened when we weighted edible Solanaceae by nicotine concentration (ptrend = 0.004). An inverse association was also evident for peppers specifically (ptrend = 0.005). The potentially protective effect of edible Solanaceae largely occurred in men and women who had never used tobacco or who had smoked cigarettes <10 years.",,,,,,,,1,1,Nielsen et al 2013,,http://onlinelibrary.wiley.com/doi/10.1002/ana.23884/abstract;jsessionid=B282B352C0F08E1135310326AD41792B.d01t01,,,,,,,,,,,
pine nuts,,4,"cholesterol, general health","cardio, general health",nut / seed,,2454,0,118,,,,,This review includes multiple studies that find promising results for tree nuts (but not conclusive evidence). ,,http://www.ncbi.nlm.nih.gov/pubmed/22153059,,,,,2011,,,Bolling et al 2011,,,,,,,,,,,,,
pineapple,,3,osteoarthritis,musculoskeletal,fruit,,9460,0,193,,A compound in pineapple called bromelain mght reduce swelling and pain after injury or surgery.,,,2012: Some research suggests bromelain might reduce swelling and pain after surgery or injury. Possibly effective for osteoarthritis pain and knee function when used in combination with trypsin and rutin (Phlogenzym). This combination seems to be about as effective as some prescription painkillers. 2001: further clinical trials necessary. ,,,http://www.nlm.nih.gov/medlineplus/druginfo/natural/895.html,,,,,,,Medline / NIH,,http://www.ncbi.nlm.nih.gov/pubmed/11577981,,,,,,,,,,,
pomegranate,,3,general health,general health,fruit,,5559,20,182,,"Juice or extract may protect against diabetes, cardiovascular diseases and some cancers.",,,"2012: Research studies suggest that pomegranates have beneficial effects on a number of health conditions. 2010: Pomegranate juice or extract may protect against and even improve several diseases, including diabetes and cardiovascular disease; it may even help to prevent and arrest the development of certain cancers, in addition to protecting the health of the mouth and skin.",,http://www.cancer.gov/cancertopics/pdq/cam/prostatesupplements/healthprofessional/page5,http://onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2010.00131.x/full,,,20,2012,,,National Cancer Institute,,,,,,,,,,,,,
pomegranate juice,,1,erectile dysfunction,sex,fruit,OTW,2345,1,128,,One study showed a marginal effect of pomegranate juice on erectile dysfunction. But don't all rush at once: the results weren't quite statistically significant.,,,"2007 pilot study of 53 men with mild to moderate erectile dysfunction: subjects were more likely to have improved erectile dysfunction scores when pomegranate juice was consumed, but the results were not quite statistically significant (P=0.058).",,,http://www.ncbi.nlm.nih.gov/pubmed/17568759?dopt=Abstract,,50%,,,1,0.5,Forest et al 2007,,,,,,,,,,,,,
prickly pear cactus,"nopal cactus, Opuntia ficus indica",2,"blood lipid parameters, blood sugar",cardio,vegetable,,1010,3,86,,Traditionally consumed as a vegetable. May lower blood sugar and improve metabolic syndrome (a combination of factors including being fat and having high blood pressure that increase cardiovascular disease risk).,,,"Opuntia ficus-indica (prickly pear cactus) leaves are traditionally consumed as a vegetable. 2007: Among 59 overweight or obese women following a diet plan for 6 weeks, 39% of those consuming either prickly pear cactus, but only 8% of those consuming placebo, no longer had metabolic syndrome at the end of the trial period. 2010: 16 weeks of prickly pear vs placebo showed some acute blood glucose-lowering effects in the prickly pear group.",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/161/CN-00621161/frame.html,,83%,,,3,2.5,Linarès et al 2007,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/485/CN-00762485/frame.html,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/172/CN-00095172/frame.html,,,,,,,,,,
prickly pear cactus,"nopal cactus, Opuntia ficus indica",2,"hangovers, inflammation","men, women, general health",vegetable,,1010,2,86,,"Appears to affect inflammation an might reduce hangover symptoms. Improved nausea, dry mouth and appetite in a trial of the hungover. Cut risk of a severe hangover in half.",,,"2004: 64 healthy, young adult volunteers were randomly assigned to receive prickly pear extract (1600 IU) and identical placebo, given 5 hours before alcohol consumption. During 4 hours, subjects consumed up to 1.75 g of alcohol per kilogram of body weight [8.75 units for a 50kg person, 13 units for 75kg]. Hangover severity (9 symptoms) and overall well-being were assessed on a scale (0-6). Three of the 9 symptoms-nausea, dry mouth, and anorexia-were significantly reduced by prickly pear.  Overall, the symptom index was reduced by 2.7 points on average, and the risk of a severe hangover was reduced by half. The symptoms of the alcohol hangover are largely due to the activation of inflammation. An extract of the OFI plant has a moderate effect on reducing hangover symptoms, apparently by inhibiting the production of inflammatory mediators. 2004: Consumption of cactus pear fruit positively affects the body's redox balance, decreases oxidative damage to lipids, and improves antioxidant status in healthy humans. ",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/724/CN-00482724/frame.html,,100%,,,2,2,Wiese et al 2004,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/560/CN-00481560/frame.html,,,,,,,,,,,
probiotics,,5,diarrhoea related to antibiotic use,"digestion, infections",microbe,,3821,63,158,42%,Associated with 42% lower risk of diarrhoea caused by antibiotics. Lactobacillus strains mostly used in trials. More research needed to see which strains most effective.,,,"2012: Across 63 trials, probiotics were associated with a 42% reduction in the risk of diarrhoea associated with antibiotic use. The majority used Lactobacillus -based interventions alone or in combination with other genera; strains were poorly documented. More research is needed to determine which probiotics are associated with the greatest efficacy and for which patients receiving which specific antibiotics.",,http://jama.jamanetwork.com/article.aspx?articleid=1151505,,,,63,2012,,,Hempel et al 2012,,,,,,,,,,,,,
prunes,,0,"cardiovascular disease, cancer","cardio, cancer",fruit,OTW,3655,0,184,,"Compounds in prunes called phenols show beneficial effects on cholesterol in the lab, so might protect against heart disease and cancer. No human studies yet.",,,"Phenolic compounds in prunes had been found to inhibit human LDL oxidation in vitro, and thus might serve as preventive agents against chronic diseases, such as heart disease and cancer. ",,,http://www.ncbi.nlm.nih.gov/pubmed/11401245,,,,,,,Stacewicz-Sapuntzakis et al 2001,,,,,,,,,,,,,
prunes,,5,constipation,digestion,fruit,,3655,0,184,,Better than a standard remedy (psyllium husk) at treating mild to moderate constipation. ,,,"2011 study: Dried plums are safe, palatable and more effective than psyllium for the treatment of mild to moderate constipation, and should be considered as a first line therapy. 2001 review: Because of their sweet flavor and well-known mild laxative effect, prunes are considered to be an epitome of functional foods, but the understanding of their mode of action is still unclear. ",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/495/CN-00787495/frame.html,,,,,,,Attaluri et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/11401245,,,,,,,,,,,
pu-erh tea,"pu'er tea, black Chinese tea",1,weight loss,weight control,plant extract,OTW,946,1,47,,A fermented dark Chinese tea. Possibly effective as a weight loss aid. More human studies needed.,,,"A fermented dark Chinese tea with high gallic acid content. Demonstrated to elicit antiobese effects in animals. 36 preobese Japanese adults drank powdered barley tea with or without pu-erh tea extract for 12 weeks. After 8 weeks, the tea group had lost significantly more weight, reduced their waist circumference and visceral fat. ",,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/782/CN-00810782/frame.html,,100%,,,1,1,Kubota et al 2011,,,,,,,,,,,,,
pulses,,5,cholesterol,cardio,grain / pulse,,3750,13,178,,"Foods high in soluble fibre like oats, beans and pulses can help lower cholesterol. Appears to reduce blood pressure, blood sugar, diabetes and obesity risk. So may also protect against cardiovascular disease. ",,,"2012: Foods that are high in soluble fibre such as oats, beans, pulses, lentils, nuts, fruits and vegetables, can help lower cholesterol. 2002: Intake of pulses may reduce risk for CVD by favourable effects on blood pressure, glycaemia and risk for diabetes, and risk for obesity. Overall, the available evidence indicates that regular consumption of pulses may have important protective effects on risk for CVD.",,http://www.ncbi.nlm.nih.gov/pubmed/12498626,,,,11,2002,2,,Anderson and Major 2002,,http://www.ncbi.nlm.nih.gov/pubmed/17906185,http://www.ncbi.nlm.nih.gov/pubmed/17191025,,,,,,,,,,
pumpkin seeds,,0,cancer prevention,cancer,nut / seed,OTW,1811,0,76,,"Pumpkin seeds contain high-levels of 'squalene', an important dietary cancer preventive.",,,"Squalene was particularly abundant in pumpkin seed (89.0 mg/100 g). No human trials, but several studies have indicated that squalene is an important dietary cancer chemopreventive agent.",,,http://www.ncbi.nlm.nih.gov/pubmed/17594521,,,,,0,,Ryan et al 2007,,,,,,,,,,,,,
